date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:44:26	207/207	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2017%20Feb%202025%2016:14:26%20GMT	https://mrguardy.mobirisesite.com/robots.txt		(from )
21:44:26	51380/51380	---M--	200	added ('OK')	text/html	date:Mon,%2017%20Feb%202025%2016:14:26%20GMT	https://mrguardy.mobirisesite.com/	C:/Users/EGOIST/Desktop/almostkindadonewebsite/mrguardy.mobirisesite.com/index.html	(from )
21:44:27	92642/92642	---M--	200	added ('OK')	image/jpeg	etag:%2264ca3efa511f91f156e307f3808f9e12%22	https://r.mobirisesite.com/1210606/assets/images/photo-1629904853716-f0bc54eea481.jpeg	C:/Users/EGOIST/Desktop/almostkindadonewebsite/r.mobirisesite.com/1210606/assets/images/photo-1629904853716-f0bc54eea481.jpg	(from https://mrguardy.mobirisesite.com/)
21:44:27	8709/8709	---MCZ	200	added ('OK')	text/css	etag:W/%22f913bb3b156d13516c0ff37b577fc00f%22	https://r.mobirisesite.com/1210606/assets/web/assets/mobirise-icons2/mobirise2.css?rnd=1739808824852	C:/Users/EGOIST/Desktop/almostkindadonewebsite/r.mobirisesite.com/1210606/assets/web/assets/mobirise-icons2/mobirise2d3bc.css	(from https://mrguardy.mobirisesite.com/)
21:44:27	155590/155590	---MCZ	200	added ('OK')	text/css	etag:W/%22466cd60948b2af44e5aa3b76e213785c%22	https://r.mobirisesite.com/1210606/assets/bootstrap/css/bootstrap.min.css?rnd=1739808824852	C:/Users/EGOIST/Desktop/almostkindadonewebsite/r.mobirisesite.com/1210606/assets/bootstrap/css/bootstrap.mind3bc.css	(from https://mrguardy.mobirisesite.com/)
21:44:27	51457/51457	---MCZ	200	added ('OK')	text/css	etag:W/%22e86be8e37fb82ff90609635fe463480a%22	https://r.mobirisesite.com/1210606/assets/bootstrap/css/bootstrap-grid.min.css?rnd=1739808824852	C:/Users/EGOIST/Desktop/almostkindadonewebsite/r.mobirisesite.com/1210606/assets/bootstrap/css/bootstrap-grid.mind3bc.css	(from https://mrguardy.mobirisesite.com/)
21:44:27	4623/4623	---MCZ	200	added ('OK')	text/css	etag:W/%22a5751a065a1c7de997f17a0f903ee683%22	https://r.mobirisesite.com/1210606/assets/bootstrap/css/bootstrap-reboot.min.css?rnd=1739808824852	C:/Users/EGOIST/Desktop/almostkindadonewebsite/r.mobirisesite.com/1210606/assets/bootstrap/css/bootstrap-reboot.mind3bc.css	(from https://mrguardy.mobirisesite.com/)
21:44:28	335/335	---MCZ	200	added ('OK')	text/css	etag:W/%22b80225d900588f8298b80d0a248eb1ea%22	https://r.mobirisesite.com/1210606/assets/parallax/jarallax.css?rnd=1739808824852	C:/Users/EGOIST/Desktop/almostkindadonewebsite/r.mobirisesite.com/1210606/assets/parallax/jarallaxd3bc.css	(from https://mrguardy.mobirisesite.com/)
21:44:28	7945/7945	---MCZ	200	added ('OK')	text/css	etag:W/%2255bf276f73ef7c88f98c8a79e9a42488%22	https://r.mobirisesite.com/1210606/assets/dropdown/css/style.css?rnd=1739808824852	C:/Users/EGOIST/Desktop/almostkindadonewebsite/r.mobirisesite.com/1210606/assets/dropdown/css/styled3bc.css	(from https://mrguardy.mobirisesite.com/)
21:44:28	16463/16463	---MCZ	200	added ('OK')	text/css	etag:W/%22ed09a88f0d9335408c0c9bd261be9321%22	https://r.mobirisesite.com/1210606/assets/socicon/css/styles.css?rnd=1739808824852	C:/Users/EGOIST/Desktop/almostkindadonewebsite/r.mobirisesite.com/1210606/assets/socicon/css/stylesd3bc.css	(from https://mrguardy.mobirisesite.com/)
21:44:28	14741/14741	---MCZ	200	added ('OK')	text/css	etag:W/%2204685011f1773c1291c6534634b3a2c3%22	https://r.mobirisesite.com/1210606/assets/theme/css/style.css?rnd=1739808824852	C:/Users/EGOIST/Desktop/almostkindadonewebsite/r.mobirisesite.com/1210606/assets/theme/css/styled3bc.css	(from https://mrguardy.mobirisesite.com/)
21:44:29	56/56	---MCZ	200	added ('OK')	text/css	etag:W/%22ac0afa862700f0d1efbe8f1f1dd0eb0d%22	https://r.mobirisesite.com/1210606/assets/recaptcha.css?rnd=1739808824852	C:/Users/EGOIST/Desktop/almostkindadonewebsite/r.mobirisesite.com/1210606/assets/recaptchad3bc.css	(from https://mrguardy.mobirisesite.com/)
21:44:29	50564/50564	---MCZ	200	added ('OK')	text/css	etag:W/%2233de440ddffbdd0aabfa5f3d556744d1%22	https://r.mobirisesite.com/1210606/assets/css/mbr-additional.css?rnd=1739808824852	C:/Users/EGOIST/Desktop/almostkindadonewebsite/r.mobirisesite.com/1210606/assets/css/mbr-additionald3bc.css	(from https://mrguardy.mobirisesite.com/)
21:44:29	59546/59546	---M--	200	added ('OK')	image/jpeg	etag:%2293ab22bdf59e0cd420727d2b92d0209f%22	https://r.mobirisesite.com/1210606/assets/images/photo-1599566150163-29194dcaad36.jpeg	C:/Users/EGOIST/Desktop/almostkindadonewebsite/r.mobirisesite.com/1210606/assets/images/photo-1599566150163-29194dcaad36.jpg	(from https://mrguardy.mobirisesite.com/)
21:44:29	31547/31547	---M--	200	added ('OK')	image/jpeg	etag:%2255896bebcd12f2381fa5dcf1dac7012a%22	https://r.mobirisesite.com/1210606/assets/images/photo-1615065591984-6800446436a1.jpeg	C:/Users/EGOIST/Desktop/almostkindadonewebsite/r.mobirisesite.com/1210606/assets/images/photo-1615065591984-6800446436a1.jpg	(from https://mrguardy.mobirisesite.com/)
